subject_name,correlation,RMSE,mean_error
190803LiJiayi,0.9892828460118296,2.86,1.994
190806SunDongxiao,0.9719387854705752,3.167,-0.494
190806WangDianxin,0.9894567935103696,2.214,-0.377
190810LiuSensen,0.9901734542897584,2.32,1.181
190813Caolinfeng,0.9891720885390717,2.191,-0.412
190813ZengJia,0.9858303449832615,2.56,-0.296
190815WangHan,0.9819239797840125,2.675,0.742
190815QiuYue,0.987482546776177,4.176,-3.576
190824ZhangYaqian,0.9902075461874896,2.702,-0.902
190816YangCan,0.9692578708079437,3.399,-0.764
190820FuZhenzhen,0.9607186108711141,3.215,-0.546
190820FuZhinan,0.9623847992280806,5.194,2.648
190822HeMing,0.9843933101769871,3.32,-1.707
absolute mean,0.9809402289720516,3.0763846153846157,1.2029999999999998
